"zcta","county","city","state","business_name","business_type","num_employees","years_in_operation","dataset"
"62555","11966",,"PA","Business 3909","Clothing Store",9,7,"NETS"
"62555","11966",,"PA","Business 5266","Gas Station",56,9,"NETS"
"45404","11154",,"PA","Business 1755","Pharmacy",78,4,"NETS"
"65161","11669","Silverstone Ridge","PA","Business 5929","Restaurant",75,2,"NETS"
"65161","11669","Silverstone Ridge","PA","Business 7903","Gas Station",10,10,"NETS"
"65161","11669","Silverstone Ridge","PA","Business 8779","Restaurant",22,29,"NETS"
"65161","11669","Silverstone Ridge","PA","Business 9262","Restaurant",48,26,"NETS"
"65161","11669","Silverstone Ridge","PA","Business 163","Pharmacy",31,13,"NETS"
"65161","11669","Silverstone Ridge","PA","Business 5456","Hardware Store",21,4,"NETS"
"46435","11295","Fox Hollow","PA","Business 7548","Grocery Store",32,8,"NETS"
"46435","11295","Fox Hollow","PA","Business 9500","Hardware Store",56,2,"NETS"
"46435","11295","Fox Hollow","PA","Business 2913","Clothing Store",89,17,"NETS"
"46435","11295","Fox Hollow","PA","Business 2021","Grocery Store",98,13,"NETS"
"46435","11295","Fox Hollow","PA","Business 9073","Pharmacy",31,1,"NETS"
"46435","11295","Fox Hollow","PA","Business 7432","Clothing Store",24,12,"NETS"
"46435","11295","Fox Hollow","PA","Business 1787","Restaurant",23,18,"NETS"
"09642","11917",,"PA","Business 8260","Gas Station",34,19,"NETS"
"09642","11917",,"PA","Business 8812","Hardware Store",19,5,"NETS"
"09642","11917",,"PA","Business 3768","Clothing Store",69,3,"NETS"
"09642","11917",,"PA","Business 5387","Electronics Store",100,11,"NETS"
"09642","11917",,"PA","Business 3527","Clothing Store",57,6,"NETS"
"59134","11697",,"PA","Business 5717","Clothing Store",23,22,"NETS"
"59134","11697",,"PA","Business 6001","Electronics Store",87,22,"NETS"
"59134","11697",,"PA","Business 9293","Hardware Store",6,12,"NETS"
"52132","11763",,"PA","Business 2173","Grocery Store",19,15,"NETS"
"52132","11763",,"PA","Business 2711","Restaurant",93,9,"NETS"
"52132","11763",,"PA","Business 8468","Pharmacy",92,1,"NETS"
"96849","11373","Everwood Springs","PA","Business 5812","Restaurant",26,29,"NETS"
"96849","11373","Everwood Springs","PA","Business 3585","Hardware Store",13,28,"NETS"
"96849","11373","Everwood Springs","PA","Business 5203","Gas Station",60,21,"NETS"
"96849","11373","Everwood Springs","PA","Business 4263","Grocery Store",51,9,"NETS"
"96849","11373","Everwood Springs","PA","Business 7290","Grocery Store",67,8,"NETS"
"14183","11004",,"PA","Business 5628","Clothing Store",78,22,"NETS"
"14183","11004",,"PA","Business 9511","Restaurant",24,9,"NETS"
"14183","11004",,"PA","Business 1120","Restaurant",14,7,"NETS"
"14183","11004",,"PA","Business 7655","Hardware Store",47,23,"NETS"
"15180","11522",,"PA","Business 6207","Clothing Store",77,25,"NETS"
"27168","11720",,"PA","Business 7205","Grocery Store",30,3,"NETS"
"89709","11951","Silverstone Ridge","PA","Business 2224","Gas Station",63,29,"NETS"
"89709","11951","Silverstone Ridge","PA","Business 9814","Hardware Store",51,9,"NETS"
"89709","11951","Silverstone Ridge","PA","Business 4283","Clothing Store",69,17,"NETS"
"89709","11951","Silverstone Ridge","PA","Business 5301","Grocery Store",59,28,"NETS"
"89709","11951","Silverstone Ridge","PA","Business 7513","Gas Station",89,3,"NETS"
"89709","11951","Silverstone Ridge","PA","Business 4001","Gas Station",51,19,"NETS"
"89709","11951","Silverstone Ridge","PA","Business 3493","Gas Station",84,5,"NETS"
"89709","11951","Silverstone Ridge","PA","Business 9839","Electronics Store",91,21,"NETS"
"89709","11951","Silverstone Ridge","PA","Business 1686","Clothing Store",68,29,"NETS"
"09097","11720",,"PA","Business 5143","Clothing Store",67,28,"NETS"
"09097","11720",,"PA","Business 8314","Electronics Store",5,28,"NETS"
"09097","11720",,"PA","Business 4567","Electronics Store",11,29,"NETS"
"30538","11035",,"PA","Business 6359","Gas Station",83,3,"NETS"
"30538","11035",,"PA","Business 8714","Hardware Store",99,9,"NETS"
"56219","11115",,"PA","Business 9609","Grocery Store",82,20,"NETS"
"56219","11115",,"PA","Business 4455","Pharmacy",32,20,"NETS"
"94517","11883",,"PA","Business 5956","Restaurant",90,30,"NETS"
"07989","11935",,"PA","Business 5883","Hardware Store",23,21,"NETS"
"07989","11935",,"PA","Business 1007","Clothing Store",85,19,"NETS"
"07989","11935",,"PA","Business 9052","Gas Station",64,15,"NETS"
"13536","11542","Fox Hollow","PA","Business 3295","Pharmacy",65,2,"NETS"
"13536","11542","Fox Hollow","PA","Business 8181","Grocery Store",27,10,"NETS"
"13536","11542","Fox Hollow","PA","Business 4577","Electronics Store",69,14,"NETS"
"13536","11542","Fox Hollow","PA","Business 6167","Hardware Store",98,30,"NETS"
"13536","11542","Fox Hollow","PA","Business 1809","Restaurant",4,6,"NETS"
"13536","11542","Fox Hollow","PA","Business 5427","Grocery Store",12,25,"NETS"
"13536","11542","Fox Hollow","PA","Business 3932","Grocery Store",12,27,"NETS"
"13536","11542","Fox Hollow","PA","Business 8062","Hardware Store",41,9,"NETS"
"90077","11789","Liberty Meadows","PA","Business 1164","Clothing Store",65,4,"NETS"
"90077","11789","Liberty Meadows","PA","Business 3702","Grocery Store",50,6,"NETS"
"90077","11789","Liberty Meadows","PA","Business 96","Hardware Store",45,11,"NETS"
"90077","11789","Liberty Meadows","PA","Business 2870","Hardware Store",97,29,"NETS"
"90077","11789","Liberty Meadows","PA","Business 5763","Clothing Store",11,4,"NETS"
"90077","11789","Liberty Meadows","PA","Business 4999","Pharmacy",25,13,"NETS"
"90077","11789","Liberty Meadows","PA","Business 5379","Pharmacy",25,6,"NETS"
"90077","11789","Liberty Meadows","PA","Business 9013","Hardware Store",46,5,"NETS"
"90077","11789","Liberty Meadows","PA","Business 6140","Restaurant",55,9,"NETS"
"90077","11789","Liberty Meadows","PA","Business 3603","Restaurant",71,2,"NETS"
"06216","11475",,"PA","Business 9498","Grocery Store",2,21,"NETS"
"83519","11550",,"PA","Business 3464","Restaurant",41,19,"NETS"
"83519","11550",,"PA","Business 5041","Restaurant",47,9,"NETS"
"83519","11550",,"PA","Business 1850","Clothing Store",8,20,"NETS"
"29394","11125",,"PA","Business 729","Gas Station",35,16,"NETS"
"29394","11125",,"PA","Business 7285","Gas Station",39,30,"NETS"
"29394","11125",,"PA","Business 2539","Clothing Store",43,19,"NETS"
"29394","11125",,"PA","Business 4846","Clothing Store",85,15,"NETS"
"29394","11125",,"PA","Business 3301","Pharmacy",29,5,"NETS"
"53241","11765",,"PA","Business 1055","Clothing Store",36,7,"NETS"
"53241","11765",,"PA","Business 5751","Electronics Store",58,3,"NETS"
"53241","11765",,"PA","Business 5637","Pharmacy",10,3,"NETS"
"53241","11765",,"PA","Business 1048","Electronics Store",100,25,"NETS"
"28825","11751",,"PA","Business 6742","Electronics Store",95,28,"NETS"
"28825","11751",,"PA","Business 3297","Grocery Store",92,9,"NETS"
"00041","11386","Liberty Meadows","PA","Business 5878","Restaurant",8,5,"NETS"
"00041","11386","Liberty Meadows","PA","Business 4962","Hardware Store",29,28,"NETS"
"00041","11386","Liberty Meadows","PA","Business 9124","Pharmacy",65,3,"NETS"
"00041","11386","Liberty Meadows","PA","Business 8379","Grocery Store",39,5,"NETS"
"00041","11386","Liberty Meadows","PA","Business 4006","Pharmacy",73,13,"NETS"
"00041","11386","Liberty Meadows","PA","Business 5445","Electronics Store",61,23,"NETS"
"00041","11386","Liberty Meadows","PA","Business 603","Restaurant",61,10,"NETS"
"00041","11386","Liberty Meadows","PA","Business 3389","Electronics Store",61,30,"NETS"
"00041","11386","Liberty Meadows","PA","Business 7948","Grocery Store",82,5,"NETS"
"14426","11046",,"PA","Business 1055","Clothing Store",87,24,"NETS"
"72820","11548","Coppermill Valley","PA","Business 804","Electronics Store",18,29,"NETS"
"72820","11548","Coppermill Valley","PA","Business 1482","Pharmacy",100,25,"NETS"
"72820","11548","Coppermill Valley","PA","Business 3215","Restaurant",73,12,"NETS"
"72820","11548","Coppermill Valley","PA","Business 8932","Hardware Store",13,15,"NETS"
"72820","11548","Coppermill Valley","PA","Business 2778","Clothing Store",45,30,"NETS"
"51656","11950","Fox Hollow","PA","Business 5462","Hardware Store",37,25,"NETS"
"51656","11950","Fox Hollow","PA","Business 4910","Hardware Store",22,18,"NETS"
"51656","11950","Fox Hollow","PA","Business 1724","Grocery Store",87,14,"NETS"
"51656","11950","Fox Hollow","PA","Business 8264","Restaurant",68,26,"NETS"
"51656","11950","Fox Hollow","PA","Business 2858","Grocery Store",97,18,"NETS"
"51656","11950","Fox Hollow","PA","Business 6982","Clothing Store",90,18,"NETS"
"94038","11266","Everwood Springs","PA","Business 2859","Gas Station",33,25,"NETS"
"94038","11266","Everwood Springs","PA","Business 8295","Electronics Store",60,6,"NETS"
"94038","11266","Everwood Springs","PA","Business 5823","Restaurant",74,12,"NETS"
"94038","11266","Everwood Springs","PA","Business 9640","Hardware Store",16,9,"NETS"
"94038","11266","Everwood Springs","PA","Business 8415","Clothing Store",52,21,"NETS"
"94038","11266","Everwood Springs","PA","Business 4581","Pharmacy",23,8,"NETS"
"94038","11266","Everwood Springs","PA","Business 474","Electronics Store",7,29,"NETS"
"58527","11805","Silverstone Ridge","PA","Business 8110","Electronics Store",80,7,"NETS"
"58527","11805","Silverstone Ridge","PA","Business 4846","Gas Station",72,10,"NETS"
"58527","11805","Silverstone Ridge","PA","Business 4372","Gas Station",63,25,"NETS"
"58527","11805","Silverstone Ridge","PA","Business 5639","Hardware Store",11,10,"NETS"
"58527","11805","Silverstone Ridge","PA","Business 1973","Pharmacy",79,8,"NETS"
"58527","11805","Silverstone Ridge","PA","Business 3083","Gas Station",2,24,"NETS"
"58527","11805","Silverstone Ridge","PA","Business 4657","Pharmacy",36,13,"NETS"
"58527","11805","Silverstone Ridge","PA","Business 3586","Pharmacy",20,9,"NETS"
"77009","11684",,"PA","Business 6397","Grocery Store",87,8,"NETS"
"77009","11684",,"PA","Business 2077","Pharmacy",41,4,"NETS"
"77009","11684",,"PA","Business 4311","Hardware Store",74,11,"NETS"
"77009","11684",,"PA","Business 677","Hardware Store",26,2,"NETS"
"77009","11684",,"PA","Business 6485","Electronics Store",44,8,"NETS"
"43042","11708","Coppermill Valley","PA","Business 6174","Electronics Store",37,20,"NETS"
"43042","11708","Coppermill Valley","PA","Business 2484","Electronics Store",70,20,"NETS"
"43042","11708","Coppermill Valley","PA","Business 8326","Restaurant",29,4,"NETS"
"43042","11708","Coppermill Valley","PA","Business 2751","Restaurant",71,22,"NETS"
"43042","11708","Coppermill Valley","PA","Business 4407","Hardware Store",77,24,"NETS"
"43042","11708","Coppermill Valley","PA","Business 1268","Pharmacy",12,15,"NETS"
"43042","11708","Coppermill Valley","PA","Business 6143","Electronics Store",78,25,"NETS"
"43042","11708","Coppermill Valley","PA","Business 6606","Grocery Store",1,1,"NETS"
"43042","11708","Coppermill Valley","PA","Business 7721","Pharmacy",46,27,"NETS"
"77837","11867","Silverstone Ridge","PA","Business 316","Hardware Store",61,17,"NETS"
"77837","11867","Silverstone Ridge","PA","Business 8807","Hardware Store",97,24,"NETS"
"77837","11867","Silverstone Ridge","PA","Business 8371","Restaurant",80,29,"NETS"
"77837","11867","Silverstone Ridge","PA","Business 9822","Grocery Store",29,17,"NETS"
"77837","11867","Silverstone Ridge","PA","Business 3496","Grocery Store",86,24,"NETS"
"77837","11867","Silverstone Ridge","PA","Business 422","Pharmacy",68,16,"NETS"
"77837","11867","Silverstone Ridge","PA","Business 1186","Clothing Store",28,3,"NETS"
"06134","11647",,"PA","Business 18","Restaurant",72,9,"NETS"
"33523","11523",,"PA","Business 3670","Gas Station",100,5,"NETS"
"33523","11523",,"PA","Business 6435","Restaurant",80,25,"NETS"
"21812","11630","Everwood Springs","PA","Business 7683","Hardware Store",28,19,"NETS"
"21812","11630","Everwood Springs","PA","Business 2285","Pharmacy",49,20,"NETS"
"21812","11630","Everwood Springs","PA","Business 5961","Pharmacy",24,10,"NETS"
"21812","11630","Everwood Springs","PA","Business 6432","Electronics Store",84,10,"NETS"
"21812","11630","Everwood Springs","PA","Business 3551","Pharmacy",93,19,"NETS"
"21812","11630","Everwood Springs","PA","Business 2201","Clothing Store",50,27,"NETS"
"21812","11630","Everwood Springs","PA","Business 7724","Clothing Store",75,26,"NETS"
"21812","11630","Everwood Springs","PA","Business 4371","Gas Station",75,7,"NETS"
"21812","11630","Everwood Springs","PA","Business 7186","Pharmacy",16,26,"NETS"
"39895","11239",,"PA","Business 9546","Electronics Store",53,6,"NETS"
"39895","11239",,"PA","Business 4403","Grocery Store",57,21,"NETS"
"39895","11239",,"PA","Business 7026","Gas Station",24,25,"NETS"
"39895","11239",,"PA","Business 6531","Grocery Store",43,20,"NETS"
"39895","11239",,"PA","Business 7622","Pharmacy",55,29,"NETS"
"09640","11898",,"PA","Business 688","Electronics Store",81,17,"NETS"
"09640","11898",,"PA","Business 2231","Clothing Store",90,12,"NETS"
"09640","11898",,"PA","Business 1964","Hardware Store",98,30,"NETS"
"09640","11898",,"PA","Business 6431","Hardware Store",66,17,"NETS"
"85278","11873",,"PA","Business 7855","Restaurant",18,25,"NETS"
"85278","11873",,"PA","Business 5217","Gas Station",69,23,"NETS"
"85278","11873",,"PA","Business 1004","Electronics Store",13,8,"NETS"
"85278","11873",,"PA","Business 8893","Pharmacy",55,14,"NETS"
"85278","11873",,"PA","Business 1002","Hardware Store",57,16,"NETS"
"09326","11781","Fox Hollow","PA","Business 3910","Electronics Store",81,29,"NETS"
"09326","11781","Fox Hollow","PA","Business 4072","Gas Station",85,3,"NETS"
"09326","11781","Fox Hollow","PA","Business 1110","Electronics Store",53,6,"NETS"
"09326","11781","Fox Hollow","PA","Business 7724","Hardware Store",88,17,"NETS"
"09326","11781","Fox Hollow","PA","Business 570","Grocery Store",13,26,"NETS"
"09326","11781","Fox Hollow","PA","Business 4002","Hardware Store",34,28,"NETS"
"26510","11928",,"PA","Business 1606","Pharmacy",100,24,"NETS"
"20960","11907",,"PA","Business 7018","Electronics Store",66,14,"NETS"
"14403","11855","Silverstone Ridge","PA","Business 903","Hardware Store",74,22,"NETS"
"14403","11855","Silverstone Ridge","PA","Business 107","Grocery Store",89,20,"NETS"
"14403","11855","Silverstone Ridge","PA","Business 4113","Pharmacy",40,8,"NETS"
"14403","11855","Silverstone Ridge","PA","Business 4392","Restaurant",68,6,"NETS"
"14403","11855","Silverstone Ridge","PA","Business 1717","Grocery Store",11,9,"NETS"
"14403","11855","Silverstone Ridge","PA","Business 6309","Gas Station",45,12,"NETS"
"14403","11855","Silverstone Ridge","PA","Business 6351","Grocery Store",58,28,"NETS"
"64502","11296",,"PA","Business 143","Pharmacy",60,17,"NETS"
"71503","11424",,"PA","Business 2385","Gas Station",58,26,"NETS"
"71503","11424",,"PA","Business 3221","Restaurant",84,21,"NETS"
"71503","11424",,"PA","Business 4766","Pharmacy",52,13,"NETS"
"71503","11424",,"PA","Business 164","Hardware Store",43,4,"NETS"
"71503","11424",,"PA","Business 1406","Hardware Store",42,10,"NETS"
"45221","11379",,"PA","Business 5046","Electronics Store",50,9,"NETS"
"94335","11006","Fox Hollow","PA","Business 7234","Clothing Store",49,15,"NETS"
"94335","11006","Fox Hollow","PA","Business 6668","Pharmacy",37,21,"NETS"
"94335","11006","Fox Hollow","PA","Business 8169","Electronics Store",11,10,"NETS"
"94335","11006","Fox Hollow","PA","Business 6427","Pharmacy",22,5,"NETS"
"94335","11006","Fox Hollow","PA","Business 8259","Hardware Store",26,17,"NETS"
"94335","11006","Fox Hollow","PA","Business 7074","Restaurant",81,16,"NETS"
"92372","11517","Silverstone Ridge","PA","Business 5284","Gas Station",94,13,"NETS"
"92372","11517","Silverstone Ridge","PA","Business 3483","Restaurant",81,21,"NETS"
"92372","11517","Silverstone Ridge","PA","Business 6184","Electronics Store",98,6,"NETS"
"92372","11517","Silverstone Ridge","PA","Business 1214","Restaurant",55,27,"NETS"
"92372","11517","Silverstone Ridge","PA","Business 150","Restaurant",34,7,"NETS"
"92372","11517","Silverstone Ridge","PA","Business 4066","Grocery Store",81,22,"NETS"
"92372","11517","Silverstone Ridge","PA","Business 4725","Hardware Store",45,10,"NETS"
"92372","11517","Silverstone Ridge","PA","Business 4645","Electronics Store",18,9,"NETS"
"77585","11925",,"PA","Business 3939","Restaurant",29,8,"NETS"
"77585","11925",,"PA","Business 3620","Gas Station",87,9,"NETS"
"77585","11925",,"PA","Business 7725","Restaurant",92,2,"NETS"
"77585","11925",,"PA","Business 4539","Gas Station",46,20,"NETS"
"80686","11489","Liberty Meadows","PA","Business 9984","Clothing Store",62,30,"NETS"
"80686","11489","Liberty Meadows","PA","Business 4528","Electronics Store",51,22,"NETS"
"80686","11489","Liberty Meadows","PA","Business 9037","Electronics Store",57,7,"NETS"
"80686","11489","Liberty Meadows","PA","Business 3055","Electronics Store",81,30,"NETS"
"80686","11489","Liberty Meadows","PA","Business 7359","Pharmacy",60,12,"NETS"
"80686","11489","Liberty Meadows","PA","Business 7696","Gas Station",96,29,"NETS"
"80686","11489","Liberty Meadows","PA","Business 9592","Clothing Store",30,27,"NETS"
"80686","11489","Liberty Meadows","PA","Business 453","Grocery Store",50,3,"NETS"
"80686","11489","Liberty Meadows","PA","Business 9973","Clothing Store",60,19,"NETS"
"80686","11489","Liberty Meadows","PA","Business 5875","Restaurant",91,17,"NETS"
"70563","11489","Liberty Meadows","PA","Business 5708","Grocery Store",75,24,"NETS"
"70563","11489","Liberty Meadows","PA","Business 3553","Electronics Store",35,5,"NETS"
"70563","11489","Liberty Meadows","PA","Business 6778","Clothing Store",39,2,"NETS"
"70563","11489","Liberty Meadows","PA","Business 4022","Hardware Store",32,7,"NETS"
"70563","11489","Liberty Meadows","PA","Business 851","Pharmacy",48,27,"NETS"
"70563","11489","Liberty Meadows","PA","Business 2618","Grocery Store",73,23,"NETS"
"70563","11489","Liberty Meadows","PA","Business 9063","Grocery Store",81,30,"NETS"
"70563","11489","Liberty Meadows","PA","Business 6907","Hardware Store",66,28,"NETS"
"70563","11489","Liberty Meadows","PA","Business 5386","Gas Station",3,28,"NETS"
"70563","11489","Liberty Meadows","PA","Business 2367","Clothing Store",85,11,"NETS"
"32606","11357","Liberty Meadows","PA","Business 3220","Hardware Store",18,14,"NETS"
"32606","11357","Liberty Meadows","PA","Business 8692","Restaurant",35,4,"NETS"
"32606","11357","Liberty Meadows","PA","Business 2279","Electronics Store",80,21,"NETS"
"32606","11357","Liberty Meadows","PA","Business 7040","Clothing Store",95,13,"NETS"
"32606","11357","Liberty Meadows","PA","Business 287","Pharmacy",73,27,"NETS"
"32606","11357","Liberty Meadows","PA","Business 290","Grocery Store",49,26,"NETS"
"32606","11357","Liberty Meadows","PA","Business 4539","Restaurant",52,25,"NETS"
"16152","11176",,"PA","Business 76","Gas Station",67,27,"NETS"
"25559","11188",,"PA","Business 382","Hardware Store",95,24,"NETS"
"25559","11188",,"PA","Business 8876","Hardware Store",10,30,"NETS"
"14215","11705",,"PA","Business 4103","Hardware Store",18,5,"NETS"
"14287","11266","Liberty Meadows","PA","Business 7399","Hardware Store",4,4,"NETS"
"14287","11266","Liberty Meadows","PA","Business 7754","Grocery Store",24,20,"NETS"
"14287","11266","Liberty Meadows","PA","Business 5960","Hardware Store",33,6,"NETS"
"14287","11266","Liberty Meadows","PA","Business 2508","Pharmacy",8,2,"NETS"
"14287","11266","Liberty Meadows","PA","Business 9774","Electronics Store",25,24,"NETS"
"14287","11266","Liberty Meadows","PA","Business 9248","Gas Station",76,26,"NETS"
"23194","11642","Everwood Springs","PA","Business 9301","Grocery Store",56,20,"NETS"
"23194","11642","Everwood Springs","PA","Business 5215","Clothing Store",50,30,"NETS"
"23194","11642","Everwood Springs","PA","Business 2195","Pharmacy",10,17,"NETS"
"23194","11642","Everwood Springs","PA","Business 8423","Hardware Store",6,13,"NETS"
"23194","11642","Everwood Springs","PA","Business 1609","Restaurant",46,4,"NETS"
"23194","11642","Everwood Springs","PA","Business 9864","Hardware Store",29,22,"NETS"
"23194","11642","Everwood Springs","PA","Business 3682","Restaurant",67,17,"NETS"
"23194","11642","Everwood Springs","PA","Business 6109","Gas Station",55,18,"NETS"
"90094","11355","Silverstone Ridge","PA","Business 9257","Clothing Store",90,9,"NETS"
"90094","11355","Silverstone Ridge","PA","Business 6698","Hardware Store",47,10,"NETS"
"90094","11355","Silverstone Ridge","PA","Business 8048","Clothing Store",100,4,"NETS"
"90094","11355","Silverstone Ridge","PA","Business 2338","Grocery Store",54,25,"NETS"
"90094","11355","Silverstone Ridge","PA","Business 2970","Pharmacy",92,1,"NETS"
"90094","11355","Silverstone Ridge","PA","Business 6703","Grocery Store",65,16,"NETS"
"90094","11355","Silverstone Ridge","PA","Business 5441","Gas Station",33,15,"NETS"
"90094","11355","Silverstone Ridge","PA","Business 1735","Restaurant",61,12,"NETS"
"90094","11355","Silverstone Ridge","PA","Business 6801","Pharmacy",86,3,"NETS"
"34976","11365",,"PA","Business 5247","Electronics Store",57,15,"NETS"
"34976","11365",,"PA","Business 8415","Gas Station",32,17,"NETS"
"34976","11365",,"PA","Business 7595","Pharmacy",20,18,"NETS"
"34976","11365",,"PA","Business 6564","Restaurant",48,15,"NETS"
"34976","11365",,"PA","Business 1190","Pharmacy",77,11,"NETS"
"14491","11959",,"PA","Business 3924","Clothing Store",50,7,"NETS"
"14491","11959",,"PA","Business 5113","Grocery Store",88,11,"NETS"
"14491","11959",,"PA","Business 60","Gas Station",41,17,"NETS"
"82949","11743",,"PA","Business 9233","Restaurant",28,6,"NETS"
"77584","11461","Silverstone Ridge","PA","Business 7872","Restaurant",85,11,"NETS"
"77584","11461","Silverstone Ridge","PA","Business 9199","Hardware Store",38,12,"NETS"
"77584","11461","Silverstone Ridge","PA","Business 4457","Electronics Store",71,5,"NETS"
"77584","11461","Silverstone Ridge","PA","Business 2798","Electronics Store",16,19,"NETS"
"77584","11461","Silverstone Ridge","PA","Business 8251","Grocery Store",80,23,"NETS"
"77584","11461","Silverstone Ridge","PA","Business 4250","Pharmacy",44,24,"NETS"
"77584","11461","Silverstone Ridge","PA","Business 4314","Pharmacy",83,9,"NETS"
"77584","11461","Silverstone Ridge","PA","Business 9560","Pharmacy",48,23,"NETS"
"40503","11886",,"PA","Business 2944","Hardware Store",95,25,"NETS"
"34724","11220","Liberty Meadows","PA","Business 1301","Gas Station",49,26,"NETS"
"34724","11220","Liberty Meadows","PA","Business 9776","Hardware Store",92,24,"NETS"
"34724","11220","Liberty Meadows","PA","Business 8533","Hardware Store",85,16,"NETS"
"34724","11220","Liberty Meadows","PA","Business 7563","Clothing Store",43,25,"NETS"
"34724","11220","Liberty Meadows","PA","Business 7921","Restaurant",89,4,"NETS"
"34724","11220","Liberty Meadows","PA","Business 7895","Grocery Store",2,19,"NETS"
"34724","11220","Liberty Meadows","PA","Business 2571","Gas Station",19,2,"NETS"
"34724","11220","Liberty Meadows","PA","Business 2198","Pharmacy",38,20,"NETS"
"34724","11220","Liberty Meadows","PA","Business 8690","Pharmacy",60,14,"NETS"
"34724","11220","Liberty Meadows","PA","Business 3857","Pharmacy",44,13,"NETS"
"86013","11399","Fox Hollow","PA","Business 4193","Clothing Store",64,9,"NETS"
"86013","11399","Fox Hollow","PA","Business 6985","Electronics Store",79,2,"NETS"
"86013","11399","Fox Hollow","PA","Business 6435","Gas Station",6,8,"NETS"
"86013","11399","Fox Hollow","PA","Business 7172","Clothing Store",6,7,"NETS"
"86013","11399","Fox Hollow","PA","Business 2294","Grocery Store",38,6,"NETS"
"17369","11710","Coppermill Valley","PA","Business 8745","Hardware Store",76,11,"NETS"
"17369","11710","Coppermill Valley","PA","Business 7545","Pharmacy",58,30,"NETS"
"17369","11710","Coppermill Valley","PA","Business 4427","Grocery Store",34,12,"NETS"
"17369","11710","Coppermill Valley","PA","Business 4010","Hardware Store",86,28,"NETS"
"17369","11710","Coppermill Valley","PA","Business 8464","Pharmacy",66,13,"NETS"
"17369","11710","Coppermill Valley","PA","Business 4621","Gas Station",66,29,"NETS"
"17369","11710","Coppermill Valley","PA","Business 8600","Grocery Store",12,23,"NETS"
"31542","11061","Liberty Meadows","PA","Business 854","Grocery Store",20,21,"NETS"
"31542","11061","Liberty Meadows","PA","Business 5581","Hardware Store",60,4,"NETS"
"31542","11061","Liberty Meadows","PA","Business 3831","Restaurant",45,10,"NETS"
"31542","11061","Liberty Meadows","PA","Business 8904","Gas Station",70,19,"NETS"
"31542","11061","Liberty Meadows","PA","Business 4990","Pharmacy",22,20,"NETS"
"31542","11061","Liberty Meadows","PA","Business 9098","Hardware Store",27,24,"NETS"
"31542","11061","Liberty Meadows","PA","Business 383","Restaurant",38,1,"NETS"
"31542","11061","Liberty Meadows","PA","Business 4133","Gas Station",75,11,"NETS"
"31542","11061","Liberty Meadows","PA","Business 9318","Pharmacy",74,25,"NETS"
"31542","11061","Liberty Meadows","PA","Business 4857","Hardware Store",51,16,"NETS"
"59106","11783","Coppermill Valley","PA","Business 3222","Electronics Store",17,1,"NETS"
"59106","11783","Coppermill Valley","PA","Business 5926","Restaurant",83,4,"NETS"
